dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
czFD3t8LUPv,201911,No Mapping,LPpHY5o4eJf,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,LR4Jds4zk9o,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,MIreccDym3c,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,MRIeIdXeUVS,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,MUmJJbVYD9O,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,TCTG4twXzWz,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,VLa8WDvRiOe,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,XOL9qlGgSXA,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,Y8R5CwhygaC,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,bJfVSbAFXt7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,dRqyjuwAhXR,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,fTeTE6UGVL9,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,g4Jjj5iPAe3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,may33E2U1wz,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,meHyOzRPacy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,pNICkaFzUmy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,vqPfkZSaZ5x,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,No Mapping,wVlovZnA1Fy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,Axe42zdmk70,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,CBk8rNR1do7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,CaROWCjNqDn,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,EFQIMat7AkM,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,En96j0bxFB3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,EwUUczdVxnO,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,Jynnu7yYhnV,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,LPpHY5o4eJf,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,LR4Jds4zk9o,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,MIreccDym3c,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,MRIeIdXeUVS,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,MUmJJbVYD9O,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,TCTG4twXzWz,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,VLa8WDvRiOe,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,XOL9qlGgSXA,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,Y8R5CwhygaC,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,bJfVSbAFXt7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,dRqyjuwAhXR,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,fTeTE6UGVL9,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,g4Jjj5iPAe3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,may33E2U1wz,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,meHyOzRPacy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,pNICkaFzUmy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,vqPfkZSaZ5x,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,RoCx0wMPOFi,wVlovZnA1Fy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,Axe42zdmk70,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,CBk8rNR1do7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,CaROWCjNqDn,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,EFQIMat7AkM,,1,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,En96j0bxFB3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,EwUUczdVxnO,,1,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,Jynnu7yYhnV,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,LPpHY5o4eJf,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,LR4Jds4zk9o,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,MIreccDym3c,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,MRIeIdXeUVS,,1,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,MUmJJbVYD9O,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,TCTG4twXzWz,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,VLa8WDvRiOe,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,XOL9qlGgSXA,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,Y8R5CwhygaC,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,bJfVSbAFXt7,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,dRqyjuwAhXR,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,fTeTE6UGVL9,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,g4Jjj5iPAe3,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,may33E2U1wz,,1,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,meHyOzRPacy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,pNICkaFzUmy,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,vqPfkZSaZ5x,,0,openmrs.reporting,2019-12-05
czFD3t8LUPv,201911,gB5msJXYqi3,wVlovZnA1Fy,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,No Mapping,FWrJJs6wYSx,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,No Mapping,Ot4u82RnlQP,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,No Mapping,UOePScn8pMF,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,No Mapping,mta86WGZefd,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,No Mapping,xlDNAASKhnO,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,RoCx0wMPOFi,FWrJJs6wYSx,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,RoCx0wMPOFi,Ot4u82RnlQP,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,RoCx0wMPOFi,UOePScn8pMF,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,RoCx0wMPOFi,mta86WGZefd,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,RoCx0wMPOFi,xlDNAASKhnO,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,gB5msJXYqi3,FWrJJs6wYSx,,2,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,gB5msJXYqi3,Ot4u82RnlQP,,0,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,gB5msJXYqi3,UOePScn8pMF,,2,openmrs.reporting,2019-12-05
jpOUDJG6P6x,201911,gB5msJXYqi3,mta86WGZefd,,0,openmrs.reporting,2019-12-05
