dataelement,period,orgunit,categoryoptioncombo,attroptioncombo,value,storedby,timestamp
MFaBv34Zjej,201812,s3v5lgvAame,wTz6csmCAiz,,2,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,Rb3G7NEU8xu,jF6cd1dU990,,31,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,XMeE8tiBlCN,jF6cd1dU990,,13,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,fy4UAe8WycA,jF6cd1dU990,,35,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,hSnC4R4RqoU,jF6cd1dU990,,41,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,i4wr3dvAvkZ,jF6cd1dU990,,42,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,j4P6U3xOulI,jF6cd1dU990,,20,openmrs.reporting,2019-01-23
MpRf5S2KxhQ,201812,s3v5lgvAame,jF6cd1dU990,,2,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,H00exThzgWA,,10,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,Y9e8HJVeLOH,,35,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,Rb3G7NEU8xu,oTUqr9J56DK,,726,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,H00exThzgWA,,10,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,XMeE8tiBlCN,oTUqr9J56DK,,229,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,fy4UAe8WycA,H00exThzgWA,,16,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,fy4UAe8WycA,Y9e8HJVeLOH,,15,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,fy4UAe8WycA,oTUqr9J56DK,,415,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,hSnC4R4RqoU,H00exThzgWA,,9,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,hSnC4R4RqoU,Y9e8HJVeLOH,,23,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,hSnC4R4RqoU,oTUqr9J56DK,,724,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,i4wr3dvAvkZ,H00exThzgWA,,28,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,i4wr3dvAvkZ,Y9e8HJVeLOH,,24,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,i4wr3dvAvkZ,oTUqr9J56DK,,775,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,j4P6U3xOulI,H00exThzgWA,,14,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,j4P6U3xOulI,Y9e8HJVeLOH,,25,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,j4P6U3xOulI,oTUqr9J56DK,,610,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,s3v5lgvAame,H00exThzgWA,,0,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,s3v5lgvAame,Y9e8HJVeLOH,,1,openmrs.reporting,2019-01-23
UreEMyTGSXL,201812,s3v5lgvAame,oTUqr9J56DK,,85,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,Rb3G7NEU8xu,FEiFPNM8R1d,,16,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,Rb3G7NEU8xu,QjjvoGauFeg,,17,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,XMeE8tiBlCN,FEiFPNM8R1d,,5,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,XMeE8tiBlCN,QjjvoGauFeg,,8,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,fy4UAe8WycA,FEiFPNM8R1d,,21,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,fy4UAe8WycA,QjjvoGauFeg,,21,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,hSnC4R4RqoU,FEiFPNM8R1d,,28,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,hSnC4R4RqoU,QjjvoGauFeg,,14,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,i4wr3dvAvkZ,FEiFPNM8R1d,,27,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,i4wr3dvAvkZ,QjjvoGauFeg,,22,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,j4P6U3xOulI,FEiFPNM8R1d,,14,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,j4P6U3xOulI,QjjvoGauFeg,,8,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,s3v5lgvAame,FEiFPNM8R1d,,1,openmrs.reporting,2019-01-23
bCcXal9Ijwg,201812,s3v5lgvAame,QjjvoGauFeg,,1,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,Rb3G7NEU8xu,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,XMeE8tiBlCN,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,fy4UAe8WycA,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,hSnC4R4RqoU,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,i4wr3dvAvkZ,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,j4P6U3xOulI,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
bgp9pkXkQzf,201812,s3v5lgvAame,jF6cd1dU990,,INSCPROVTB,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,Rb3G7NEU8xu,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,Rb3G7NEU8xu,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,Rb3G7NEU8xu,oTUqr9J56DK,,17,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,XMeE8tiBlCN,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,XMeE8tiBlCN,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,XMeE8tiBlCN,oTUqr9J56DK,,2,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,fy4UAe8WycA,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,fy4UAe8WycA,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,fy4UAe8WycA,oTUqr9J56DK,,5,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,hSnC4R4RqoU,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,hSnC4R4RqoU,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,hSnC4R4RqoU,oTUqr9J56DK,,19,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,i4wr3dvAvkZ,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,i4wr3dvAvkZ,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,i4wr3dvAvkZ,oTUqr9J56DK,,33,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,j4P6U3xOulI,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,j4P6U3xOulI,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,j4P6U3xOulI,oTUqr9J56DK,,13,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,s3v5lgvAame,MopUpXiLXlM,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,s3v5lgvAame,Y9e8HJVeLOH,,0,openmrs.reporting,2019-01-23
cPM6nAf3fQc,201812,s3v5lgvAame,oTUqr9J56DK,,0,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,Rb3G7NEU8xu,FEiFPNM8R1d,,229,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,Rb3G7NEU8xu,QjjvoGauFeg,,119,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,XMeE8tiBlCN,FEiFPNM8R1d,,78,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,XMeE8tiBlCN,QjjvoGauFeg,,40,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,fy4UAe8WycA,FEiFPNM8R1d,,141,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,fy4UAe8WycA,QjjvoGauFeg,,71,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,hSnC4R4RqoU,FEiFPNM8R1d,,47,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,hSnC4R4RqoU,QjjvoGauFeg,,28,openmrs.reporting,2019-01-23
dcz25pp8iO4,201812,i4wr3dvAvkZ,FEiFPNM8R1d,,276,openmrs.reporting,2019-01-23
